CaseName	Iteration	MetricName	MetricValue	PhaseName	RundIndex	Scenario	Sequence	Size	Tool
ConnectedSegments	1	Time	11537972927.093506	Read + Check	1	Repair	1	1	Redland
PosLength	1	Time	1067548513.4124756	Read + Check	1	Repair	1	1	Redland
RouteSensor	1	Time	995071172.7142334	Read + Check	1	Repair	1	1	Redland
SemaphoreNeighbor	1	Time	1146709680.557251	Read + Check	1	Repair	1	1	Redland
SwitchSensor	1	Time	1130212783.8134766	Read + Check	1	Repair	1	1	Redland
SwitchSet	1	Time	906203985.2142334	Read + Check	1	Repair	1	1	Redland
ConnectedSegments	1	Time	2031513690.9484863	Read + Check	1	Repair	1	2	Redland
PosLength	1	Time	1639791011.8103027	Read + Check	1	Repair	1	2	Redland
RouteSensor	1	Time	1718736171.722412	Read + Check	1	Repair	1	2	Redland
SemaphoreNeighbor	1	Time	1944537639.61792	Read + Check	1	Repair	1	2	Redland
SwitchSensor	1	Time	1607081651.687622	Read + Check	1	Repair	1	2	Redland
SwitchSet	1	Time	1178369522.0947266	Read + Check	1	Repair	1	2	Redland
ConnectedSegments	1	Time	3513912439.3463135	Read + Check	1	Repair	1	4	Redland
PosLength	1	Time	2843362331.390381	Read + Check	1	Repair	1	4	Redland
RouteSensor	1	Time	2527814388.2751465	Read + Check	1	Repair	1	4	Redland
SemaphoreNeighbor	1	Time	3458900451.6601562	Read + Check	1	Repair	1	4	Redland
SwitchSensor	1	Time	3096303462.9821777	Read + Check	1	Repair	1	4	Redland
SwitchSet	1	Time	2128302574.1577148	Read + Check	1	Repair	1	4	Redland
ConnectedSegments	1	Time	8136014223.098755	Read + Check	1	Repair	1	8	Redland
PosLength	1	Time	4452013254.165649	Read + Check	1	Repair	1	8	Redland
RouteSensor	1	Time	5377857208.251953	Read + Check	1	Repair	1	8	Redland
SemaphoreNeighbor	1	Time	7010689496.994019	Read + Check	1	Repair	1	8	Redland
SwitchSensor	1	Time	12156861066.818237	Read + Check	1	Repair	1	8	Redland
SwitchSet	1	Time	7737983942.03186	Read + Check	1	Repair	1	8	Redland
ConnectedSegments	1	Time	14545061826.705933	Read + Check	1	Repair	1	16	Redland
PosLength	1	Time	10951834201.812744	Read + Check	1	Repair	1	16	Redland
RouteSensor	1	Time	16369402170.181274	Read + Check	1	Repair	1	16	Redland
SemaphoreNeighbor	1	Time	17063719034.194946	Read + Check	1	Repair	1	16	Redland
SwitchSensor	1	Time	70518463134.76562	Read + Check	1	Repair	1	16	Redland
SwitchSet	1	Time	18727835655.212402	Read + Check	1	Repair	1	16	Redland
